dep,partido,estado,votodilma,liberado,recebido,vototemer,discurso,discurso2
Wilson Filho,PTB,PB,A favor,8135957.54,1268562.27,Aus,,0
Wladimir Costa,SD,PA,A favor,6663910,300238.3,Contra,"Deputado Wladimir Costa, do Solidariedade do Pará, quero dizer: abaixo o IBOPE, que é ridículo e mentiroso! Abaixo a pesquisa do Datafolha, que mente, com uma pesquisa... O Presidente é um homem decente, preparado, honesto, transparente. E nós, da base do Governo, vamos botar a Oposição para chorar hoje aqui, com a vitória de Michel Temer!
Voto sim!",58
Wolney Queiroz,PDT,PE,Contra,8091668.44,0,A favor,"Sr. Presidente, coerente com o que o Estado de Pernambuco espera de mim, eu voto ""não"" ao relatório, voto contra a reforma trabalhista, voto contra a reforma da Previdência. 
Fora Temer! Diretas já!",33
Yeda Crusius,PSDB,RS,Não estava no cargo,0,0,Contra,Eu voto sim ao relatório do Deputado Abi-Ackel.,8
Zé Augusto Nalin,PMDB,RJ,Não estava no cargo,0,0,Contra,"Sr. Presidente, eu acho que aqui todos nós queremos a mesma coisa: a investigação, mas, para mim, que a investigação venha no tempo certo, depois que o Presidente sair do comando da Presidência.
Muito obrigado. Sim.",36
Zé Carlos,PT,MA,Contra,7285613,100660.64,A favor,"Sr. Presidente, pela garantia de que ninguém estáacima da lei e de que toda denúncia tem que ser apurada, pela hipocrisia que reina nesta Casa e por Temer na cadeia, eu voto contra esse parecer e pelo prosseguimento.",38
Zé Geraldo,PT,PA,Contra,9899641.21,360448.2,A favor,"Sr. Presidente, esse Presidente aumentou, em uma vez só, a gasolina em 40 centavos. O povo brasileiro não aguenta esse Governo que está falindo o Brasil. Voto não, pela...",29
Zé Silva,SD,MG,A favor,8932419,2948976.64,Contra,"Sr. Presidente, eu voto com o resultado da CCJ, voto com o Relator e voto sim.",16
Zeca Cavalcanti,PTB,PE,Contra,5397650,1217218.38,Contra,"Sr. Presidente, pela estabilidade econômica do nosso País, pela geração de emprego e que se tiver de ser investigado, que o Presidente investigue após o mandato. 
O meu voto é sim. ",31
Zeca Dirceu,PT,PR,Contra,10169102.78,2031080.93,A favor,"Quem se ausenta é covarde. A solução para os problemas do Brasil passa sim pelo reestabelecimento da democracia. Autorizar o STF julgar Temer é o primeiro passo para que isso ocorra. Queremos o fora, Temer, queremos diretas já. Pelajuventude, por aqueles que lutam e lutaram contra a reforma da Previdência e a reforma trabalhista, o meu voto é não. Justiça!",60
Zeca do PT,PT,MS,Contra,7197626.76,325902.9,A favor,"Sr. Presidente, o meu voto é não ao relatório, não à concessão dada ao latifúndio, não às reformas e não ao entreguismo do território brasileiro a grupos internacionais. ",28
Zenaide Maia,PR,RN,Contra,3362053.24,1454118.89,A favor,"Por saber que eu realmente vi aquela mala de dinheiro andando nas ruas da cidade, contra a impunidade, Zenaide vota não.",21
